account_id,client_id,account_type,currency,date_eff
4441385,831249,CHEQUE,USD,2026-10-09T00:00:00
1340819,443016,CHEQUE,USD,2026-10-09T00:00:00
8812648,201794,EPARGNE,CAD,2026-10-09T00:00:00
3882846,471297,CHEQUE,USD,2026-10-09T00:00:00
3074342,207930,EPARGNE,USD,2026-10-09T00:00:00
7643857,619332,CHEQUE,USD,2026-10-09T00:00:00
8110142,814153,EPARGNE,CAD,2026-10-09T00:00:00
6827871,520368,EPARGNE,CAD,2026-10-09T00:00:00
9333535,255667,CHEQUE,CAD,2026-10-09T00:00:00
4470442,843248,CHEQUE,CAD,2026-10-09T00:00:00
6848382,957877,EPARGNE,CAD,2026-10-09T00:00:00
9987064,245054,EPARGNE,CAD,2026-10-09T00:00:00
9317902,635700,CHEQUE,CAD,2026-10-09T00:00:00
8285947,346752,CHEQUE,CAD,2026-10-09T00:00:00
5439836,860487,EPARGNE,USD,2026-10-09T00:00:00
8548811,987783,CHEQUE,CAD,2026-10-09T00:00:00
3104629,107128,CHEQUE,USD,2026-10-09T00:00:00
9028728,512320,CHEQUE,CAD,2026-10-09T00:00:00
4721321,327252,CHEQUE,USD,2026-10-09T00:00:00
4992306,128837,CHEQUE,USD,2026-10-09T00:00:00
4188567,946295,EPARGNE,USD,2026-10-09T00:00:00
9067427,323002,EPARGNE,USD,2026-10-09T00:00:00
8610818,493263,EPARGNE,CAD,2026-10-09T00:00:00
9376356,654870,CHEQUE,CAD,2026-10-09T00:00:00
1930596,578572,EPARGNE,USD,2026-10-09T00:00:00
6593685,658787,EPARGNE,CAD,2026-10-09T00:00:00
4827693,689298,EPARGNE,CAD,2026-10-09T00:00:00
2486021,611323,CHEQUE,USD,2026-10-09T00:00:00
3976852,990539,EPARGNE,CAD,2026-10-09T00:00:00
4343712,210288,EPARGNE,CAD,2026-10-09T00:00:00
3074653,822368,CHEQUE,CAD,2026-10-09T00:00:00
4526200,583049,EPARGNE,CAD,2026-10-09T00:00:00
9050921,357005,CHEQUE,CAD,2026-10-09T00:00:00
3579845,943882,CHEQUE,CAD,2026-10-09T00:00:00
4784834,416860,EPARGNE,CAD,2026-10-09T00:00:00
7788856,889838,EPARGNE,CAD,2026-10-09T00:00:00
8424613,637104,CHEQUE,USD,2026-10-09T00:00:00
1827806,617622,EPARGNE,USD,2026-10-09T00:00:00
5660566,734046,CHEQUE,USD,2026-10-09T00:00:00
3598650,231595,EPARGNE,USD,2026-10-09T00:00:00
2595136,310532,EPARGNE,USD,2026-10-09T00:00:00
7342337,215720,EPARGNE,CAD,2026-10-09T00:00:00
6268345,279964,CHEQUE,CAD,2026-10-09T00:00:00
6819073,333985,EPARGNE,CAD,2026-10-09T00:00:00
6005391,198938,EPARGNE,CAD,2026-10-09T00:00:00
3999356,663103,CHEQUE,USD,2026-10-09T00:00:00
3309598,881763,EPARGNE,CAD,2026-10-09T00:00:00
2564641,654181,EPARGNE,CAD,2026-10-09T00:00:00
1807841,300965,EPARGNE,USD,2026-10-09T00:00:00
5030064,834868,EPARGNE,CAD,2026-10-09T00:00:00
4701674,313013,EPARGNE,USD,2026-10-09T00:00:00
1026168,699708,EPARGNE,USD,2026-10-09T00:00:00
2933565,399147,CHEQUE,USD,2026-10-09T00:00:00
7076943,809157,CHEQUE,USD,2026-10-09T00:00:00
8472697,257726,CHEQUE,USD,2026-10-09T00:00:00
4261812,641209,CHEQUE,USD,2026-10-09T00:00:00
8885097,557513,EPARGNE,USD,2026-10-09T00:00:00
3678325,791227,CHEQUE,CAD,2026-10-09T00:00:00
2806595,381235,EPARGNE,USD,2026-10-09T00:00:00
6318938,957470,EPARGNE,CAD,2026-10-09T00:00:00
2524546,455240,CHEQUE,USD,2026-10-09T00:00:00
9952151,486866,CHEQUE,USD,2026-10-09T00:00:00
5432680,892056,EPARGNE,CAD,2026-10-09T00:00:00
3960529,723213,EPARGNE,USD,2026-10-09T00:00:00
2546438,665003,EPARGNE,USD,2026-10-09T00:00:00
2854336,769358,CHEQUE,USD,2026-10-09T00:00:00
1198268,841711,EPARGNE,CAD,2026-10-09T00:00:00
5123372,217156,CHEQUE,USD,2026-10-09T00:00:00
4818178,713297,CHEQUE,CAD,2026-10-09T00:00:00
1160530,991390,EPARGNE,USD,2026-10-09T00:00:00
5463748,547646,EPARGNE,CAD,2026-10-09T00:00:00
1634395,812844,EPARGNE,USD,2026-10-09T00:00:00
5442024,785389,CHEQUE,USD,2026-10-09T00:00:00
7919402,364970,CHEQUE,CAD,2026-10-09T00:00:00
5318137,832093,EPARGNE,CAD,2026-10-09T00:00:00
8965079,768035,CHEQUE,CAD,2026-10-09T00:00:00
7376547,655461,CHEQUE,USD,2026-10-09T00:00:00
1588753,486878,EPARGNE,CAD,2026-10-09T00:00:00
9110643,779639,EPARGNE,CAD,2026-10-09T00:00:00
6387013,791816,EPARGNE,USD,2026-10-09T00:00:00
5184595,675985,CHEQUE,USD,2026-10-09T00:00:00
9164021,885702,CHEQUE,USD,2026-10-09T00:00:00
3308045,225935,CHEQUE,CAD,2026-10-09T00:00:00
2407588,545497,CHEQUE,CAD,2026-10-09T00:00:00
3618092,780909,EPARGNE,USD,2026-10-09T00:00:00
8714812,884605,CHEQUE,CAD,2026-10-09T00:00:00
9299596,296528,CHEQUE,USD,2026-10-09T00:00:00
9746116,837769,CHEQUE,CAD,2026-10-09T00:00:00
6124531,328791,CHEQUE,USD,2026-10-09T00:00:00
7468791,215019,EPARGNE,USD,2026-10-09T00:00:00
2887203,988065,EPARGNE,USD,2026-10-09T00:00:00
4737844,986927,EPARGNE,CAD,2026-10-09T00:00:00
6840667,340422,EPARGNE,CAD,2026-10-09T00:00:00
3617881,803504,EPARGNE,USD,2026-10-09T00:00:00
7374843,567381,EPARGNE,CAD,2026-10-09T00:00:00
3199983,824642,CHEQUE,USD,2026-10-09T00:00:00
2125827,575319,CHEQUE,USD,2026-10-09T00:00:00
8334044,313506,EPARGNE,CAD,2026-10-09T00:00:00
4733874,951795,CHEQUE,USD,2026-10-09T00:00:00
3978640,809869,EPARGNE,USD,2026-10-09T00:00:00
